solID,mape,decomp.rssd,nrmse,Google.Search,programmatic_sociodemo_investments,programmatic_behavioural_investments,reservation_social_video_investments,reservation_social_display_investments,TV.settimanale,cluster,top_sol
1_1111_1,0,0.164892040382444,0.141467426361663,0.181657722364695,0.379283847559265,0,0.14745034070435,0.405575614429509,0.305132497137574,2,FALSE
1_1159_1,0,0.197462127000909,0.104583747699801,0.571444280598601,0,0,0,0.967596273321696,0.843231473833454,3,FALSE
1_1164_2,0,0.171753236247541,0.139611007179504,0.176536450388235,0.465251117856897,0,0,0.363453010727684,0.324042754860727,2,FALSE
1_1210_2,0,0.193743062737865,0.105048332282021,0.40034692932971,0,0,0,0.876044561312836,0.686123205732652,3,FALSE
1_1234_1,0,0.197654290064057,0.104531673424817,0.572064400254222,0,0,0,0.962573517539126,0.835283313830662,3,FALSE
1_1254_2,0,0.172013541213305,0.139706759607393,0.183574739112596,0.469436015306382,0,0,0.317097467908443,0.229512585175516,2,FALSE
1_1270_2,0,0.194015750152763,0.105090892139902,0.396120307542831,0,0,0,0.845251138208521,0.690829704838158,3,FALSE
1_1279_1,0,0.214555421621322,0.10437724236078,0.768710374169432,0,0,0,0.953943858560467,0.794178170484845,3,FALSE
1_1294_1,0,0.197657500439336,0.104536509771993,0.571930296842435,0,0,0,0.960608633128609,0.835556584760708,3,FALSE
1_1317_2,0,0.194276125123895,0.104932117435228,0.376578533525233,0,0,0,0.813797243981341,0.691249140473527,3,FALSE
1_1345_2,0,0.193850396069151,0.105035756343307,0.407036000381857,0,0,0,0.877517267693064,0.683787390152321,3,FALSE
1_1575_1,0,0.195137618457039,0.104972503493857,0.448416117912581,0,0,0,0.852556570536218,0.76051577919044,3,FALSE
1_1586_1,0,0.168499369417195,0.141074788475054,0.241537467581567,0.307027931945623,0,0.336584443355337,0.479066607287265,0.530209522862822,2,FALSE
1_1684_1,0,0.164604997549355,0.141256794555714,0.187838145608943,0.428010374463823,0,0.180703112999763,0.373401814255052,0.37109195742158,2,FALSE
1_1699_1,0,0.164991809976873,0.141298128186214,0.187957547047311,0.425576729148625,0,0.173230778560324,0.381465400326631,0.371389125264851,2,FALSE
1_1829_2,0,0.194331803944002,0.104837447247998,0.420042424723416,0,0,0,0.887073302743567,0.75362129076518,3,FALSE
1_1844_2,0,0.196120933358999,0.104923823548009,0.471902939995871,0,0,0,0.810511351959184,0.75542760428634,3,FALSE
1_1955_1,0,0.193693897658747,0.104911393056477,0.403535250685341,0,0,0,0.887083880604543,0.678851066981963,3,FALSE
1_1970_1,0,0.194151042070191,0.105022720507727,0.419397015523643,0,0,0,0.87486801190277,0.697840245721759,3,FALSE
1_2005_1,0,0.17431927960346,0.139269385098822,0.192483413183761,0.377547755026148,0,0,0.386826650983128,0.319236175068062,2,FALSE
1_2081_1,0,0.11343653668774,0.174584532380168,0.0397762487078616,0.235715009008225,0,0.616812876763271,0.000802468088675715,0.00551701062840207,1,FALSE
1_2096_1,0,0.113363089715393,0.174585849820471,0.0392213249773435,0.235868674316393,0,0.61637488134282,0.000801671041528008,0.00552359956426213,1,FALSE
1_2126_1,0,0.113395180717466,0.174614059181772,0.0399374635847868,0.23697416857392,0,0.619476014449162,0,0.0058209691578385,1,FALSE
1_2156_1,0,0.113498922887896,0.174584901926828,0.040160801232283,0.235759266428657,0,0.616675489555151,0.00079613385861958,0.00551430133689276,1,FALSE
1_2190_2,0,0.192919129269958,0.105263754440955,0.338173913719104,0,0,0,0.868688873160203,0.637826198034384,3,FALSE
1_2226_1,0,0.16174740538234,0.140921915635713,0.216830681015588,0.45415148988684,0,0.259512083696775,0.466242410965198,0.424370760991584,2,FALSE
1_2280_2,0,0.192868471309852,0.105256904901059,0.338797519563915,0,0,0,0.872871638366239,0.636996509375539,3,FALSE
1_2310_2,0,0.193085131398537,0.105296963286982,0.338029202739721,0,0,0,0.861172083938847,0.644362090143337,3,FALSE
1_2325_2,0,0.192893929582849,0.105249340117501,0.339002748929379,0,0,0,0.86205293996747,0.630805339150593,3,FALSE
1_2340_2,0,0.193758810864705,0.105194519303986,0.326220243607613,0,0,0,0.858948138719047,0.671585096539604,3,FALSE
1_943_1,0,0.180449502914393,0.116262072060545,0.27104911626552,0.313992902208412,0,0,0.657718756376114,0.528848555935075,2,FALSE
10_1307_1,0,0.114065524710404,0.172304204542587,0.0466857826592014,0.284541433071343,0,0.647014281897922,0.0107660406708732,0.0455263035401705,1,FALSE
10_1352_1,0,0.11432377560093,0.172302136663989,0.0466641878729014,0.303808422860726,0,0.651251560682785,0.0105461785065324,0.0455512922905355,1,FALSE
10_1367_1,0,0.114078904796384,0.17230427108492,0.0466844131090167,0.284540180089439,0,0.646582581267375,0.0107665688603682,0.0455270580580726,1,FALSE
10_1818_1,0,0.114345415683541,0.172565440840809,0.0514184177159076,0.184608099051621,0,0.669084530533307,0.0241259693134974,0.0360743104700852,1,FALSE
10_1976_1,0,0.174973675503753,0.139040759982831,0.173493351197234,0.364231422779109,0,0,0.241236577317839,0.166003633655209,2,FALSE
10_2346_1,0,0.118792731817004,0.159556643754715,0.0733295992074519,0.392802483246259,0,0.725264421687461,0.0759082307242605,0.101383302917146,1,FALSE
10_2391_1,0,0.119085341558758,0.15954138172096,0.0735976402691516,0.393918046733201,0,0.725228002553997,0.0820680081796835,0.101188174343123,1,FALSE
2_1002_2,0,0.247505803797676,0.104229979551299,1,0,0,0,0.967144812842705,0.75497734507745,3,FALSE
2_1138_1,0,0.117278540105326,0.163959812272536,0.0589312358391215,0.373059570660508,0,0.786906476597655,0.139557023334601,0.138931665699242,1,FALSE
2_787_2,0,0.208708474559203,0.104318141054236,0.732414424494727,0,0,0,0.963355766678714,0.829406622583928,3,FALSE
2_817_2,0,0.195847130610608,0.104557334802798,0.483069926184048,0,0,0,0.912020371541418,0.88489849636893,3,FALSE
2_847_2,0,0.195845296690497,0.104562908406644,0.473844563782,0,0,0,0.911669358131138,0.886441015563886,3,FALSE
2_877_2,0,0.195847130610608,0.104557334802798,0.483069926184034,0,0,0,0.912020371541415,0.884898496368932,3,FALSE
2_892_2,0,0.196630508386669,0.104524531158539,0.472548136904937,0,0,0,0.920966769489252,0.94247206842523,3,FALSE
2_907_2,0,0.20927782149503,0.10429215550956,0.780236141848648,0,0,0,0.970526096013674,0.890903052223424,3,FALSE
3_2237_2,0,0.170035166411443,0.140311748688422,0.163503606795018,0.482901239538714,0,0,0.410864203363104,0.291559892060957,2,FALSE
4_1043_2,0,0.179479474434278,0.106658996703141,0.366280345982459,0.428361219349736,0,0,0.999999999999992,0.737721309071411,3,FALSE
4_1098_2,0,0.176837116303771,0.108006196786472,0.273804788961199,0.635434484160593,0,0,0.870511778325399,0.440128995302259,2,FALSE
4_1178_2,0,0.179479474434282,0.106658996703141,0.366280345982584,0.42836121934963,0,0,1,0.737721309071381,3,FALSE
4_1226_2,0,0.192043554775201,0.106456386230254,0.226145652494095,0,0,0,0.854808392201585,0.424775510869167,3,FALSE
4_1273_1,0,0.18171960610235,0.106241383349786,0.0727681164056341,0.747333180593224,0,0,0.897260112251582,0.638188387611897,2,FALSE
4_1275_2,0,0.180858608299407,0.107510205809045,0,0.915108246617365,0,0,0.803004708062308,0.411190158268324,2,FALSE
4_1339_1,0,0.179271414842847,0.106914604484436,0.394902347043483,0.545979034026033,0,0,0.819238297770093,0.608312083874322,2,FALSE
4_1687_2,0,0.181021896821854,0.106741087894865,0.361682525713707,0.465495702614323,0,0,0.9035429334603,0.834088170098717,3,FALSE
4_1732_2,0,0.183316798688838,0.106920371560227,0.351003420909624,0.452632122277351,0,0,0.899787865606392,0.888991864792833,3,TRUE
4_1766_2,0,0.173976800912391,0.107491610743742,0.22353623414303,0.528670392441963,0,0,0.862174230579676,0.551972462995707,2,FALSE
4_2049_1,0,0.189165198111665,0.105879973819566,0.531815592947457,0.309172179050526,0,0,0.785285890497252,0.898744625335459,3,FALSE
4_2054_2,0,0.187731875014511,0.105908830253719,0.503080739014705,0.271595816741885,0,0,0.929883541099373,0.821140457952111,3,FALSE
4_2061_2,0,0.173467983777631,0.107512803905909,0.0885975910977055,0.660051572152493,0,0,0.798727502309763,0.383081967326167,2,FALSE
4_2064_1,0,0.189165198111663,0.105879973819566,0.53181559294757,0.309172179050697,0,0,0.785285890497281,0.898744625335459,3,FALSE
4_2121_2,0,0.169564347667807,0.107607975016584,0.141543540672069,0.695206596102613,0,0,0.705769476491424,0.42125728652786,2,FALSE
4_2196_2,0,0.171105666936568,0.107534791222651,0.166619562994892,0.653356231152433,0,0,0.804015708353416,0.409398744423435,2,FALSE
4_2242_1,0,0.202828952726377,0.104403019672558,0.744265352128311,0,0,0,0.968519524531864,0.995138367739411,3,FALSE
4_2257_1,0,0.203338177944132,0.104492146692877,0.744417209016076,0,0,0,0.896908112465817,1,3,FALSE
4_2377_1,0,0.202650832860789,0.10439981002538,0.743414515570692,0,0,0,0.970658732065988,0.999827107436604,3,FALSE
4_2421_1,0,0.176795772943074,0.108394930976845,0.264166487246227,0.469831421758421,0,0,0.859933120425226,0.457297485956758,2,FALSE
4_2452_1,0,0.202650832860791,0.10439981002538,0.743414515570709,0,0,0,0.970658732066006,0.999827107436548,3,FALSE
4_590_1,0,0.18332611759537,0.106553354937235,0.371189787162904,0.338399829581989,0,0,0.951917554807538,0.807630960248713,3,FALSE
4_623_2,0,0.180451302808695,0.106814780041173,0,1,0,0,0.726794904132824,0.362149676114857,2,FALSE
4_712_2,0,0.189019672494253,0.106111652388507,0,0.932975262853444,0,0,0.936372048274257,0.694869298649288,2,FALSE
4_725_1,0,0.183326117595371,0.106553354937235,0.371189787162911,0.338399829581963,0,0,0.951917554807536,0.807630960248737,3,FALSE
4_770_1,0,0.185702301985121,0.10654911760688,0.441342693509607,0.269703519206982,0,0,0.960661929588379,0.800488572254783,3,FALSE
4_933_1,0,0.193075617359559,0.106351699828119,0.562178075900966,0.215354961650798,0,0,0.975495791116453,0.768228116017574,3,FALSE
5_1692_1,0,0.196563383039047,0.104674012592291,0.503838863561383,0,0,0,0.909671127529282,0.933897265144642,3,FALSE
5_1722_1,0,0.196481705996282,0.104679990465353,0.505336564758988,0,0,0,0.907618962182632,0.924679803106316,3,FALSE
5_1826_2,0,0.114447922001293,0.169100424006679,0.056454309656793,0.262686687191489,0,0.705239719503722,0.0379813773484295,0.0696426992444608,1,FALSE
5_1841_2,0,0.114313440922756,0.169094026581015,0.056198309750882,0.281580032637672,0,0.707473470588412,0.0376962806809718,0.0695586282917968,1,FALSE
5_2355_2,0,0.208803350951999,0.1044241059978,0.725586762880971,0,0,0,0.920823311421096,0.819733667336203,3,FALSE
6_1077_1,0,0.166875381047436,0.140189179666982,0.236651464981269,0.48271419418057,0,0.143454243751729,0.416573330568489,0.340178226713419,2,FALSE
6_1138_1,0,0.115229961304417,0.163046796369877,0.0574902570118287,0.335586956509113,0,0.809601472850853,0.0923470490837398,0.0815499158572457,1,FALSE
6_1214_2,0,0.11448412439958,0.169934995356141,0.0607591715839401,0.264202782556116,0,0.714398659764414,0.0375809098909476,0.0610624318460241,1,FALSE
6_1227_1,0,0.134140668132941,0.148072820929108,0.0811559400189546,0.376139996466491,0,0.465383813731311,0.21072294615251,0.136738606921491,1,FALSE
6_1257_1,0,0.130757693816447,0.148074502676101,0.0815920668651595,0.3766894753198,0,0.531495233062033,0.210494802782454,0.136568750326737,1,FALSE
6_1287_1,0,0.130757693816447,0.148074502676101,0.0815920668651595,0.3766894753198,0,0.531495233062034,0.210494802782454,0.136568750326737,1,FALSE
6_1317_1,0,0.131823011265683,0.148061511920104,0.0933238067672362,0.415220512799299,0,0.545084329924807,0.20879824240939,0.135986478275523,1,FALSE
6_1392_1,0,0.131640226818376,0.148066749507144,0.0948424426894393,0.371366802398812,0,0.542258836551022,0.210378120247528,0.136375878882874,1,FALSE
6_1406_1,0,0.166540599128606,0.141052317070802,0.142668948787067,0.439803080246657,0,0.0924467797390614,0.256714777438575,0.282396400342945,2,FALSE
6_1422_1,0,0.137333273580515,0.147949763263338,0.0955501133012055,0.366390670496699,0,0.467407135551791,0.260182855009373,0.134842453975656,1,FALSE
6_1437_1,0,0.136939641558985,0.147963403794672,0.0917366827668558,0.432799280714718,0,0.474781971704192,0.249593811426307,0.134183574317059,1,FALSE
6_1449_1,0,0.124941922256615,0.152067970599949,0.114665077435638,0.304089726602176,0,0.79963513789609,0.210897056388955,0.192674084554954,1,FALSE
6_1479_1,0,0.11558019346384,0.156515509753176,0.0683470560805742,0.353234318533847,0,0.902120788764552,0.166066933515553,0.139359231523619,1,FALSE
6_1491_1,0,0.117612998719929,0.160488912868039,0.0652931747836974,0.443711151591606,0,0.791282745149046,0.0989405960766034,0.144746057551596,1,FALSE
6_1550_2,0,0.138529118129846,0.146653690338291,0.0568164917895356,0.487244182542793,0,0.596388810995995,0.315622348088576,0.273310206765558,1,FALSE
6_1552_1,0,0.119852288990147,0.157014801410831,0.0653605012740266,0.299785339203777,0,0.872331036377827,0.207048327262717,0.104537388754427,1,FALSE
6_1558_1,0,0.120862730218703,0.155686207829984,0.0908538549559727,0.417582986587057,0,0.792744402142104,0.146953133577393,0.142620994980753,1,FALSE
6_1566_1,0,0.123241489390732,0.153912790214333,0.0825602245209361,0.473431972215963,0,0.770131168153515,0.173290252813355,0.138587320634322,1,FALSE
6_1568_1,0,0.159267173232902,0.142074635810038,0.162475691240245,0.495320712116332,0,0.172164406296061,0.301153366753401,0.269408071082656,2,FALSE
6_1570_1,0,0.127409476222296,0.148665035728305,0.0775937583320344,0.41477560024497,0,0.736033347551724,0.253464258633812,0.234306547934407,1,FALSE
6_1581_1,0,0.121136328385646,0.153935861656595,0.0862104665862626,0.396368120446583,0,0.766725658833935,0.165588146558494,0.139967789546424,1,FALSE
6_1583_1,0,0.170450381897418,0.139848023098984,0.11983491043208,0.421189477221731,0,0,0.310997971200372,0.233592824152572,2,FALSE
6_1595_2,0,0.158751165129464,0.142643875453825,0.200885164577283,0.430759571843314,0,0.294173558173266,0.326833065608182,0.357441349477772,2,FALSE
6_1622_2,0,0.137486467652484,0.147578075840487,0.0777498132791448,0.421979920837917,0,0.488048368405286,0.265288298597279,0.206491094867826,1,FALSE
6_1627_1,0,0.126845831845599,0.153262582676388,0.0725080639183144,0.295097634807949,0,0.680213660693832,0.213228237352418,0.173740767946787,1,FALSE
6_1640_2,0,0.144131229356635,0.145034954820777,0.0706546095819006,0.519094519399411,0,0.354656257375002,0.282784011340167,0.194558939194444,1,FALSE
6_1642_2,0,0.142394216000057,0.145609307863667,0.123108662761281,0.477002675390174,0,0.456055130180458,0.359233107466896,0.254075748823124,1,FALSE
6_1651_2,0,0.147758072020778,0.144155172705954,0.122328940388459,0.393605349194642,0,0.308549867686867,0.21686336901773,0.18627307721806,1,FALSE
6_1655_1,0,0.155838545568374,0.14240646262197,0.157649564234329,0.328736482463486,0,0.431239704541788,0.391611174385692,0.380058248499997,1,FALSE
6_1657_2,0,0.142381422223988,0.145612904660389,0.11532110054932,0.479508378248409,0,0.450270679174318,0.359255989759676,0.254267982020995,1,FALSE
6_1707_2,0,0.115647689296913,0.164215939922161,0.0617312602314638,0.307266211052501,0,0.757747922988399,0.0477815148555568,0.110055540073585,1,FALSE
6_1716_1,0,0.126861733908707,0.148934529720345,0.0904560579477491,0.38771162725597,0,0.622465425344107,0.182009613455242,0.136818652639209,1,FALSE
6_1717_1,0,0.123870573778721,0.153258921248495,0.104220997712546,0.402660674413853,0,0.761758318162077,0.194750431165309,0.172658438776913,1,FALSE
6_1727_2,0,0.138013081721504,0.147618112900954,0.0994362860895691,0.419264786654299,0,0.474971259088729,0.262893899112187,0.206299813102413,1,FALSE
6_1731_1,0,0.126861733908707,0.148934529720345,0.0904560579477491,0.38771162725597,0,0.622465425344107,0.182009613455242,0.136818652639209,1,FALSE
6_1746_1,0,0.127235736549897,0.148937144987801,0.091059055593099,0.345273481110206,0,0.609035086117893,0.1829825400443,0.136963593992947,1,FALSE
6_1771_1,0,0.12338056506842,0.151724435566605,0.0898145064833663,0.356529837958294,0,0.835890746628423,0.269491617420195,0.220200823138422,1,FALSE
6_1776_1,0,0.124154829085858,0.152545208297366,0.0823084449236891,0.424731445433832,0,0.727889818962073,0.203221376924023,0.136185933858784,1,FALSE
6_1806_1,0,0.13377217298578,0.146835266424725,0.0864488390132702,0.326559620588981,0,0.627018298718764,0.327092384548738,0.133078250411564,1,FALSE
6_1812_2,0,0.16907422598132,0.139980843973157,0.106861263655087,0.459796971767496,0,0,0.318580399297884,0.15027088637861,2,FALSE
6_1824_2,0,0.159051800778675,0.142235690990862,0.174136582819231,0.384262284733274,0,0.307699310675839,0.258209790937893,0.338278419218576,2,FALSE
6_1836_1,0,0.138443751298519,0.146694444691329,0.0907368538720822,0.344681382459132,0,0.631202406395595,0.365747096475149,0.127731604519988,1,FALSE
6_1842_2,0,0.119664790541145,0.154145744286328,0.0776693902976099,0.338110495975395,0,0.765635993228493,0.130549452385126,0.0988876977538825,1,FALSE
6_1861_2,0,0.143467150942729,0.14285687246779,0.116316011278742,0.373799529231155,0,0.425673736329162,0.297961359295308,0.226232576635987,1,FALSE
6_1864_1,0,0.157404825377705,0.141517381125698,0.127042185644769,0.473905258534393,0,0.18025921901884,0.261790245221865,0.244247991674308,2,FALSE
6_1869_2,0,0.157172949888838,0.14199391326744,0.222126187557047,0.251382333249195,0,0.499971257988962,0.310536286079907,0.378812140241335,1,TRUE
6_1879_1,0,0.163893590949063,0.141415638924052,0.120770971063143,0.478448147115471,0,0.247820249845679,0.300222840766604,0.374353565345089,2,FALSE
6_1894_1,0,0.169673930528797,0.140413687451719,0.127578663782938,0.486252016960228,0,0.0670575564610848,0.384632650268931,0.34782315554084,2,FALSE
6_1902_2,0,0.119638266299261,0.157179095975292,0.100525979083343,0.359804587229186,0,0.828597847762132,0.12183794960926,0.163225413405594,1,FALSE
6_1978_2,0,0.174412389886587,0.139139520765452,0.174873979420699,0.345984589808539,0,0,0.381460461234364,0.292942856489081,2,FALSE
6_1989_2,0,0.15571670074069,0.141983707557209,0.220964471215706,0.27692485678346,0,0.503879073193425,0.320279467602172,0.377721664463535,1,FALSE
6_1998_2,0,0.151241295756838,0.143396780739799,0.143488839098503,0.336426498370776,0,0.422386473211275,0.309764073426453,0.307971758570854,1,FALSE
6_2028_2,0,0.147313972316019,0.143161706873993,0.140090395556948,0.463111545213632,0,0.409152857797301,0.368413337198409,0.300191270682371,1,FALSE
6_2045_1,0,0.127188624582045,0.1509179346903,0.110433704744268,0.391624606329021,0,0.710132725029652,0.195754400580891,0.151785618309995,1,FALSE
6_2079_1,0,0.119339265490937,0.153244702254531,0.0952611404158431,0.421128954488881,0,1,0.264604370854307,0.256676400944107,1,FALSE
6_2096_1,0,0.139332848244021,0.145995766250455,0.227304810016625,0.401969648734877,0,0.844944645616433,0.294930076442094,0.369207815396887,1,FALSE
6_2113_1,0,0.169697883810628,0.139625080599573,0.100189612064993,0.355656565556218,0,0,0.265343182375028,0.150339725246705,2,FALSE
6_2118_2,0,0.150420207201064,0.143590871556086,0.117090069432574,0.466601573083616,0,0.437819802464743,0.182947090545244,0.316149145683944,1,FALSE
6_2133_1,0,0.128133243473887,0.148180168634802,0.105974013735323,0.388894807910413,0,0.785198432742967,0.357418278080052,0.232456892531436,1,FALSE
6_2184_1,0,0.139364485421458,0.145260186657749,0.11819823670981,0.309413575917197,0,0.520112424573366,0.321431488689498,0.199158147338671,1,FALSE
6_2202_1,0,0.176769877676174,0.119105577922666,0.200322348183518,0.337179551596178,0,0,0.57001589987991,0.398555994601545,2,FALSE
6_2214_1,0,0.139466032379024,0.145276319889376,0.11824502358651,0.309491814499736,0,0.519072851168659,0.323118736047037,0.199429594068959,1,FALSE
6_2227_2,0,0.119772411236171,0.157131380366517,0.0742113646114391,0.357050486051778,0,0.88793760600944,0.201690617653232,0.208734465397396,1,FALSE
6_2250_1,0,0.132963343075225,0.147786161776949,0.120469005814669,0.340362284371841,0,0.648324293368323,0.295304389221461,0.215581112059109,1,FALSE
6_2259_1,0,0.125703305756985,0.151726632843854,0.106355831718919,0.327898418200061,0,0.761440569235452,0.241306652933038,0.166910291080549,1,FALSE
6_2265_1,0,0.157785108511015,0.142882947094669,0.140479386829052,0.321553255386103,0,0.214435296250292,0.267760352414905,0.147755389338173,2,FALSE
6_2272_2,0,0.120631151060148,0.152975304440902,0.0751966006960913,0.376856004845402,0,0.835270716680958,0.249259866265428,0.181309811946934,1,FALSE
6_2280_1,0,0.1364116943969,0.147731006034257,0.117952694017125,0.368616591242641,0,0.556419916281865,0.299094345168706,0.214494605545991,1,FALSE
6_2281_1,0,0.143218542639827,0.144509380641749,0.203906953014533,0.303601059853597,0,0.723775744338658,0.40571604115039,0.29887903423526,1,FALSE
6_2295_1,0,0.133131462165513,0.147767004794475,0.128572080981051,0.372730081567539,0,0.653654424263041,0.294112787886654,0.213684020822465,1,FALSE
6_2305_2,0,0.141127978269161,0.145779080093082,0.106075409467931,0.379784605828737,0,0.413277417180825,0.250370461659008,0.187743579336961,1,FALSE
6_2308_1,0,0.134076735521002,0.146218508186403,0.106027344740433,0.358628315548943,0,0.594333818302009,0.309108709046908,0.208163724954972,1,FALSE
6_2372_1,0,0.126924373265304,0.151864014221193,0.0740039662427617,0.362961244562697,0,0.862375000729829,0.287794925615947,0.267481609544424,1,FALSE
6_2373_1,0,0.125733593380172,0.153372828780347,0.105145341665167,0.38571088711574,0,0.727896664496655,0.122648895839196,0.115874767329311,1,FALSE
6_2384_1,0,0.127937100858124,0.148602519614665,0.100913911595622,0.394407745482311,0,0.657245957501711,0.110379251268391,0.193317320208881,1,FALSE
6_2408_1,0,0.135272590929821,0.14614288281724,0.09436638368298,0.399261432723535,0,0.602976369532472,0.390933654272917,0.211722254770419,1,FALSE
6_2416_1,0,0.117244520813355,0.157214897506905,0.0872779613284085,0.378756354912515,0,0.93675178973936,0.19632552827925,0.180320888654598,1,FALSE
6_2423_1,0,0.138442043304563,0.146182550663076,0.0953018870410405,0.384251132846331,0,0.566262984014766,0.427907173054057,0.213695082491048,1,FALSE
6_2438_1,0,0.155357056191302,0.143190801717435,0.180979900042877,0.394469442052272,0,0.508912181653669,0.378463849112837,0.455281743528444,1,FALSE
6_2451_2,0,0.137529550500129,0.14704850612435,0.0825469117484479,0.413764187951597,0,0.501132732959556,0.257584696602374,0.21594972884659,1,FALSE
6_2453_1,0,0.152800209485254,0.143192021322369,0.181444647511677,0.394142813496713,0,0.564570133775436,0.37805083904672,0.455102924164122,1,FALSE
6_2458_2,0,0.144752920636949,0.144761608620229,0.109511890567221,0.376381721524107,0,0.550284019941903,0.299318665219182,0.313952564608768,1,FALSE
6_2473_2,0,0.144632193000615,0.144761432942056,0.109455836858643,0.378635455474676,0,0.550935993263588,0.299209305537034,0.313925180408535,1,FALSE
6_2489_1,0,0.121468708820957,0.15407754175418,0.0799895984514932,0.376622306723184,0,0.84097121199735,0.261126596695405,0.198886093990334,1,FALSE
7_1922_1,0,0.171869469063544,0.138688181820912,0.176326303168818,0.457326685369376,0,0,0.34638655261009,0.224382588392429,2,FALSE
7_1937_1,0,0.176439438880933,0.138750473972022,0.199022024293854,0.328068384465425,0,0,0.355536786722022,0.23673238963638,2,FALSE
7_2117_1,0,0.17791262721088,0.138381300450311,0.256701597694393,0.431778657583159,0,0,0.383318934694142,0.310006575457215,2,TRUE
7_2132_1,0,0.175690705683813,0.138391093801155,0.238059545773388,0.435918588594301,0,0,0.383438892161705,0.310360360407912,2,FALSE
8_1357_1,0,0.113902367631843,0.17401679896241,0.0378041025210716,0.193123200256767,0,0.596070559572116,0.0139496083002802,0,1,FALSE
8_136_1,0,0.11577277810047,0.168985918508772,0.0510482430690928,0.298443071568899,0,0.704787472256051,0.0886912909134298,0.0752101929401922,1,FALSE
8_1552_2,0,0.113598758455402,0.175235192465522,0.0346912728044891,0.240206769842266,0,0.623658158798665,0.0156256313196096,0.00761141295749975,1,FALSE
8_2051_2,0,0.115505914169621,0.167940020855806,0.0486584040467304,0.312752752446474,0,0.800897896983688,0.119300978074374,0.11927673242668,1,FALSE
8_2345_2,0,0.11588342867852,0.165252343417779,0.0559849306749867,0.295403005092415,0,0.785933031870082,0.13072101633151,0.0922795154133089,1,FALSE
8_2360_2,0,0.11594224024739,0.165246658649594,0.0557123029751943,0.307090754514221,0,0.787316358954555,0.130492291526439,0.0922153323739517,1,FALSE
8_2375_2,0,0.117240766662614,0.165234129835267,0.0558676847857409,0.295484492166309,0,0.733220888429529,0.133795482263654,0.092221641459481,1,FALSE
8_936_2,0,0.160285362078406,0.142004860757969,0.173309260109782,0.274271437399828,0,0.396640243863038,0.413337687219843,0.39377817468497,2,FALSE
9_1575_2,0,0.130754253260354,0.147804572700157,0.115221488481363,0.367300494064233,0,0.651391123735479,0.218717483429376,0.213400489009064,1,FALSE
9_1576_1,0,0.125561649331737,0.151654118849416,0.141984559986251,0.406142158279244,0,0.893726641164349,0.214308723412973,0.261703871703701,1,FALSE
9_1907_1,0,0.115671915572333,0.169752872129514,0.0464375795997568,0.290439788624101,0,0.656177885664411,0.0627895851575826,0.0552399356407557,1,FALSE
9_1952_1,0,0.115679093085267,0.169752698887267,0.0464307905570944,0.291112357295636,0,0.656266422330412,0.062776875952069,0.055237923861263,1,FALSE
9_2023_1,0,0.119554379174518,0.157443401730296,0.0920373902453245,0.434252757831109,0,0.939863730769435,0.184049838956682,0.242437986218544,1,FALSE
9_2215_1,0,0.114349938082853,0.17238691646108,0.050134626132442,0.309125718760101,0,0.707733345683788,0.0471184416314772,0.0715352741603565,1,FALSE
9_2275_1,0,0.113710382980767,0.172385470212766,0.0501858649513831,0.309117504284348,0,0.731892781189301,0.0470513820049643,0.0715284087600389,1,FALSE
9_2290_1,0,0.113693358463636,0.172321299540836,0.0503656238665171,0.302753313789671,0,0.727779387819452,0.0452415630117948,0.0712418789251517,1,FALSE
9_2424_2,0,0.118014596711577,0.160168038512495,0.0926799971004369,0.334611734397521,0,0.969651984061688,0.193775901154501,0.211640828488585,1,FALSE
