solID,mape,decomp.rssd,nrmse,programmatic_sociodemo_investments,programmatic_behavioural_investments,reservation_social_video_investments,reservation_social_display_investments,TV.settimanale,cluster,top_sol
1_346_2,0,0.625934956843216,0.123972001417951,0.678809039627192,0.277598848399579,0.299182899254314,0.561920977874523,0.923926629936428,3,TRUE
1_584_2,0,0.929705944049888,0.120641550522193,0.507279925744222,0.136848391775374,0.273517830689277,0.354735276591103,0.961317009813701,3,FALSE
1_631_1,0,0.191216720103718,0.160943698537701,0.271253866696572,0.958377184516007,0.797368721108398,0.841556797477003,0.590588212259837,1,FALSE
1_669_1,0,0.322305904090602,0.132985577787885,0.722941434231562,0.556295858549412,0.653904698255397,0.681707381864921,0.856989440730611,4,FALSE
1_678_1,0,0.93328177434799,0.119903397304158,0.667791160775434,0.039127595734777,0.244079031621868,0.354795806642918,0.942473546512805,3,FALSE
1_684_1,0,0.32274201322232,0.132982447852627,0.723466680181218,0.556162797370491,0.654014714739677,0.679876697960016,0.85708642081294,4,FALSE
1_693_1,0,1.22529086777708,0.119566411686975,0.624898630754647,0,0.180125627423575,0.362508448325512,0.874882415224829,3,FALSE
1_699_1,0,0.3214025024076,0.132994420753664,0.724847337985791,0.558451554028412,0.658457810112026,0.680307209512854,0.855365740003095,4,FALSE
1_706_1,0,0.690252941727034,0.121473146163291,0.813929513938484,0.447492444164471,0.220621742588225,0.433061192239233,0.865859089532504,3,FALSE
1_764_2,0,0.284783481499781,0.135659019982825,0.480125312540792,0.580016713780648,0.740106030321509,0.713484268753843,0.851613179088194,2,FALSE
1_805_2,0,0.392733040443509,0.128525604771225,0.567728583744689,0.499593717323015,0.573369951340824,0.622383099414966,0.877102505223761,4,FALSE
1_815_1,0,0.733851670413561,0.122595689046478,0.554569204652085,0.263272979385497,0.409678714105538,0.44156836382287,0.865599205207888,3,FALSE
1_820_2,0,0.366666040103264,0.130650409920622,0.826090012005156,0.611771101546196,0.635921069601014,0.65186739257567,0.77901346716661,4,FALSE
1_821_2,0,0.382888585563522,0.129202978546224,0.439121129800895,0.519810810393152,0.614974445618245,0.640302340779085,0.890933172061625,4,FALSE
1_848_2,0,0.298712957155581,0.134295749862315,0.317424792831694,0.580561621812357,0.798684729691884,0.715906817636833,0.846250289650792,2,FALSE
1_855_1,0,0.488210420687172,0.125283214651671,0.581070723996892,0.424873594008881,0.46546230016796,0.56551911322439,0.91117605898014,4,FALSE
1_872_2,0,0.309543335867298,0.134361715434383,0.602960099024624,0.560653672708648,0.693641460006393,0.693621445046925,0.834793678915747,4,FALSE
1_874_1,0,0.173695943556347,0.162965669608584,0.30410888503877,0.940552965262502,0.722306275490297,0.821801269488729,0.67161182274742,1,FALSE
1_878_2,0,0.324037862511187,0.132981078917082,0.717416395081633,0.563231254454735,0.636651070211823,0.676155566308136,0.864551385323681,4,FALSE
1_879_1,0,0.235138985719174,0.137348223960538,0.526199330263939,0.641887269556482,0.753147195708935,0.848652701265292,0.841878685099968,2,FALSE
1_884_1,0,0.943613884050279,0.120446204994311,0.280464003083916,0.275036174488323,0.427795712894256,0.332005435106922,0.926967685657724,3,FALSE
1_889_1,0,0.18110701675559,0.162689585995256,0.394218030211659,0.962685803939858,0.721377804967325,0.818750458311318,0.661330305050235,1,FALSE
1_894_2,0,0.292664896225963,0.135391972065832,0.52716754173857,0.615030643027468,0.701090800064462,0.7428268196974,0.784098406509731,2,FALSE
1_904_1,0,0.173783847991197,0.162951441208605,0.306772217412293,0.940672178761542,0.721980460882753,0.821602408644266,0.671193166469286,1,FALSE
1_908_2,0,0.319490280832751,0.133004217003264,0.738201020104603,0.568332839720311,0.63775086920461,0.688258123054894,0.867868649561433,4,FALSE
1_909_1,0,0.290168922110233,0.13552775108193,0.478068261416398,0.584994749368325,0.691908510326039,0.739021760580844,0.860696477844852,2,FALSE
1_914_2,0,0.507851183986313,0.124957765789149,0.625919672781063,0.319776955627155,0.513363309504853,0.545339762536495,0.897339162654036,4,FALSE
1_919_1,0,0.162879207970293,0.162981776461769,0.285946139339945,0.966618398378331,0.722434055036009,0.822472589768733,0.673676254356154,1,FALSE
1_922_1,0,1.18391701045488,0.119424679852516,0.442299201725329,0.219918865406882,0.194065482002778,0.216691121095725,0.959141494118151,3,FALSE
1_933_2,0,1.16334300862481,0.119756609361659,0.88499677688074,0.313590271092542,0.369845537686116,0,0.76867554708054,3,FALSE
1_940_2,0,0.229188219758966,0.141312876376259,0.38510005366952,0.666886759017117,0.760465153487112,0.866979733660679,0.82626983517959,2,FALSE
1_949_1,0,0.168852885436182,0.162919379147965,0.249747965884029,0.96963415041651,0.730863539004643,0.826401619828879,0.634787770810467,1,FALSE
1_962_2,0,0.271108206813487,0.13706141846458,0.488118657123903,0.58551275689407,0.766252008433826,0.742697137119102,0.83395931551175,2,FALSE
1_963_1,0,1.23299429499956,0.118725919514432,0.39216094144566,0.203240710803227,0.0420222536408504,0.344047859649739,1,3,FALSE
1_965_2,0,0.483198153340417,0.125239766217304,0.633350731554305,0.361122085772127,0.556930851016892,0.509030150919797,0.894210971960199,4,FALSE
1_998_1,0,0.411217634399676,0.128131576298365,0.553172631908092,0.500614419932133,0.532743795184001,0.645978547714134,0.865823129923972,4,FALSE
2_316_1,0,0.217853561397013,0.143281950398179,0.339682892940843,0.678237545873477,0.960966423772147,0.963574291938485,0.775903058579872,2,FALSE
2_331_1,0,0.217557424899564,0.143327106859733,0.313663639444973,0.672807382468324,0.968879922551562,0.967638341396554,0.783492509080604,2,FALSE
2_402_1,0,0.305986689326635,0.134484865774717,0.516556500845094,0.581495216273769,0.735449446773356,0.773177764153084,0.73656451775331,2,FALSE
2_433_2,0,0.24075518507956,0.13880238376837,0.420692680922148,0.615755395524157,0.821906029525033,0.814431318967143,0.818520176210931,2,FALSE
2_460_2,0,0.323679858434017,0.131316535866544,0.568472145202813,0.577200819684861,0.706639477134347,0.654256665891944,0.800504226048421,4,FALSE
2_475_2,0,0.292326413612177,0.135064674219602,0.598868460489366,0.568611000369945,0.807629895651858,0.694270437411636,0.795462741160974,2,FALSE
2_477_1,0,0.207076662677021,0.145158549395574,0.384738585298127,0.685479799214203,0.965983421157046,0.880194407238531,0.805229251070313,2,FALSE
2_478_2,0,0.242506490275524,0.138668093199714,0.496486757722746,0.619046349516447,0.848121418106045,0.780297854762045,0.811901699495687,2,FALSE
2_492_1,0,0.208571503423303,0.145190766314075,0.339247629000544,0.677898705923689,0.974674354370953,0.841053791241161,0.821535777463534,2,FALSE
2_497_2,0,0.422703491361915,0.127819569975309,0.569720097895512,0.480621517155024,0.538867866292563,0.596584892491764,0.890259717781534,4,FALSE
2_507_1,0,0.213742870462047,0.145175540216874,0.403652252901123,0.674694357268476,1,0.875897144763715,0.802607562239004,2,FALSE
2_508_2,0,0.164861381464883,0.164031324508016,0.313906839573012,0.969861766429449,0.830528689794903,0.881651839429213,0.665981134866969,1,FALSE
2_516_2,0,0.197082568278631,0.160669218484496,0.419141587140791,0.919622807666586,0.657454317922864,0.845052032361799,0.711345972775657,1,FALSE
2_520_2,0,0.29486271258509,0.13510228789857,0.602566023697237,0.569313811530487,0.806643829926828,0.699295966391957,0.78697640385782,2,FALSE
2_522_1,0,0.16445566445206,0.165115787710743,0.307443471403938,0.977077985806516,0.824744098866411,0.8667434149612,0.654327368035053,1,FALSE
2_523_2,0,0.163345905727056,0.164084432564995,0.283560882624431,0.976769532812684,0.813069099295221,0.932278981631823,0.668495982546662,1,FALSE
2_525_1,0,0.221696969621632,0.143656652569956,0.349485952437197,0.637717527615152,0.851617783582531,0.970394381594866,0.803462027731026,2,FALSE
2_532_1,0,0.892629199416925,0.120316003306338,0.517689331242643,0.262335580629597,0.480483584544794,0.159693726085106,0.901483720767483,3,FALSE
2_535_2,0,0.303030458340464,0.133979258691362,0.592472109519553,0.554022546177258,0.771044660482066,0.676588870196874,0.810226254685246,4,FALSE
2_537_1,0,0.207828483352582,0.145141553746329,0.384465972047682,0.684922069470736,0.971559879818811,0.880152615892633,0.804194226617381,2,FALSE
2_546_2,0,0.18585601236622,0.160760972330413,0.395574058621761,0.914969621219271,0.698138007863615,0.834152151708118,0.708748503142914,1,FALSE
2_547_1,0,0.774386010665645,0.120467638227395,0.493693538086794,0.275830187746346,0.47867491306593,0.31171391576137,0.892591688281683,3,FALSE
2_551_2,0,0.162575263694624,0.164411654968934,0.360773924432837,0.928751196747584,0.774093590406926,0.878559470686009,0.716456487767333,1,FALSE
2_553_1,0,0.211598969382035,0.145641511448455,0.332442303983502,0.655011150352494,0.836857763964403,0.91371880505833,0.862586133248821,2,FALSE
2_558_2,0,0.413092891032426,0.127361857519186,0.712765406360992,0.470259977381275,0.541232612977052,0.566273116552199,0.893583610575943,4,FALSE
2_562_1,0,0.766426385407879,0.120489752799825,0.480165097249441,0.273622045391478,0.468087713310316,0.339817358857655,0.896414326787152,3,FALSE
2_569_2,0,0.472156813092243,0.125953844220968,0.526357927409228,0.417882250982938,0.570271080646202,0.525882627329719,0.897137531051306,4,FALSE
2_577_1,0,0.773418167945791,0.120468137965296,0.492713123667153,0.275574630226134,0.478796314704538,0.312214128740764,0.893603986237414,3,FALSE
2_580_2,0,0.297927000940054,0.134050136948897,0.406912543265527,0.559649309686538,0.782308217045822,0.696329322711332,0.840632148251837,2,FALSE
2_588_2,0,0.389618689054773,0.127500603769339,0.665843538931133,0.457133373402248,0.595453259717618,0.595544478669068,0.888579665729476,4,FALSE
2_592_1,0,1.01121239463032,0.120338122722589,0.269231892874624,0.227144429109376,0.463718923212524,0.211078210351671,0.964395772844627,3,FALSE
2_595_2,0,0.365262254062376,0.131026382988276,0.479132278307735,0.560725767693118,0.614774774316631,0.628184634289023,0.877821863101847,4,FALSE
2_623_2,0,0.352550414127818,0.130134547357019,0.804117120990811,0.57191326272824,0.635795962692786,0.640196608447291,0.827286792045564,4,FALSE
2_625_2,0,0.26260853836595,0.135674799910903,0.518236179903629,0.61325428692447,0.772222522590352,0.730934363013531,0.832250863640831,2,FALSE
2_626_2,0,0.242441743645187,0.138169480491844,0.348408701112006,0.607397994180254,0.928619586485131,0.828442180912348,0.787075781378281,2,FALSE
2_627_1,0,0.399651612682883,0.129815317570332,0.774277009050107,0.541699652267892,0.618427117493031,0.596310615034614,0.782522638467314,4,TRUE
2_638_2,0,0.470286180828087,0.124129206365974,0.66237205559573,0.417968109712201,0.501951132985721,0.543595082061302,0.890367427870102,4,FALSE
2_640_2,0,0.262570912410862,0.136170081340094,0.528498773200998,0.640733125052122,0.842302569230109,0.732181480489781,0.766070629632716,2,FALSE
2_641_2,0,0.244768639748715,0.13817048408595,0.348307707744516,0.6056797405572,0.929796784421078,0.819099569884951,0.785840293776436,2,FALSE
2_642_1,0,1.10321950558449,0.119930838115597,0.592020153002174,0.022449783691965,0.105557464770872,0.340000283206759,0.98761227682659,3,FALSE
2_644_2,0,0.347492341658409,0.131157763182392,0.630426322609573,0.539449769729779,0.643026637146887,0.659555851500586,0.824180486463434,4,FALSE
2_654_1,0,0.464341910821824,0.125307908443894,0.672479395379952,0.436450978733398,0.427816490577158,0.59123683306531,0.926969632297325,4,FALSE
2_655_2,0,0.265332215663165,0.135659911682307,0.520667910157383,0.614280068921316,0.763085601159352,0.72536386666513,0.834023086008224,2,FALSE
2_656_2,0,0.250440034834186,0.137732441705923,0.275073499314159,0.578188184605648,0.844404002839403,0.883694116096855,0.869572605227842,2,FALSE
2_658_1,0,0.21295195283841,0.145424019962657,0.454041070343923,0.731219373526497,0.825951691626819,0.90373642861334,0.763859520484546,2,FALSE
2_666_2,0,0.200659655113725,0.160813094955624,0.462685050306791,0.903029425895259,0.685019882953737,0.835832518877204,0.720481516277105,1,FALSE
2_678_1,0,0.335920154321219,0.13172037725017,0.625695493038239,0.561962960658447,0.632392009199193,0.671991097458964,0.835618848189729,4,FALSE
2_682_1,0,0.288629016338314,0.13503563837288,0.526862489278441,0.593316825573712,0.686363696198677,0.711749472024452,0.875378789276702,2,FALSE
2_687_2,0,0.13937573055,0.166052734858921,0.306701767685842,0.999235498952943,0.767491814913393,0.900400367893942,0.708013666359327,1,FALSE
2_697_1,0,0.290067545662153,0.135127067921749,0.523999604874717,0.608795773445967,0.654511883333218,0.733983908135362,0.870487319224483,2,FALSE
2_700_2,0,0.268909562787665,0.135661649824554,0.521006493888344,0.601467637844985,0.765193460283607,0.725143241969377,0.834472690323075,2,FALSE
2_701_2,0,0.254029410637638,0.137717264414416,0.27836619826152,0.576022524902272,0.849595047943489,0.856861402957378,0.871733919094355,2,FALSE
2_709_2,0,0.313221881098092,0.133764990927673,0.426742251548415,0.580698074873979,0.664578525634248,0.743157238555692,0.844672577817195,2,FALSE
2_710_1,0,0.357466085253741,0.129174249554516,0.693005297583872,0.531958343545899,0.571901188466321,0.646207771153375,0.885414180277647,4,FALSE
2_717_1,0,0.378481343327186,0.129837453606328,0.572464303778692,0.562483134297084,0.609601109131175,0.605423302102708,0.821484075157573,4,FALSE
2_738_1,0,1.04936676240147,0.119153062902609,0.378492269445043,0.15987077334153,0.172720121457684,0.455092028310843,0.966409913186195,3,FALSE
2_739_1,0,0.351048682999367,0.131349065502179,0.751684968327916,0.563386751503478,0.638036845100625,0.590066012760117,0.85729801003433,4,FALSE
2_744_2,0,0.317355753225227,0.134265466598777,0.417173737296498,0.521066924762742,0.764220981432998,0.693725397305832,0.842169845056564,2,FALSE
2_747_1,0,0.383408893456188,0.129816791361916,0.68880574717987,0.552659771636419,0.615937189338114,0.600820690949871,0.799227918435393,4,FALSE
2_754_1,0,0.339248021001518,0.131238369994178,0.646973685413836,0.537745672547045,0.640904754603535,0.641576438947552,0.864855958686227,4,FALSE
2_754_2,0,0.312737536695235,0.133767366845548,0.438231501865605,0.58254096459182,0.662960962103048,0.739985873578465,0.841283764781394,2,FALSE
2_755_1,0,0.297064374205785,0.134962311439081,0.685049695020286,0.545820245976628,0.74629293441508,0.726828532628558,0.834618389380807,4,FALSE
2_755_2,0,0.439029406939515,0.127093404270676,0.71072857169084,0.499420306127629,0.589847452427005,0.406974603417551,0.910670248788943,4,FALSE
2_762_2,0,0.30880447650675,0.134027599960975,0.671623047667844,0.581955139076835,0.649923556799643,0.698429852946352,0.859638716018589,4,FALSE
2_767_1,0,0.726228240705349,0.122416555361109,0.716468249785085,0.284986469666055,0.169994727375805,0.487074054653892,0.954351320951815,3,FALSE
2_769_1,0,0.33519712821203,0.131205147197148,0.58164942714865,0.569109828764102,0.638022179605163,0.62928385866052,0.875080706812342,4,FALSE
2_769_2,0,0.317636186422651,0.133778719212458,0.427130282312466,0.570001097739748,0.664536597018036,0.742765266383827,0.843928529441715,2,FALSE
2_770_1,0,0.240783503571473,0.138896286690419,0.499464269783555,0.627145359723118,0.815263675335167,0.784114414679265,0.824353069603003,2,FALSE
2_772_2,0,0.451832587018607,0.125989451725148,0.649117987703456,0.40137900926526,0.547289082283773,0.534226036536001,0.905663776071943,4,FALSE
2_777_1,0,0.375922076956054,0.129978177800231,0.649623541123502,0.556537606644818,0.626866905286117,0.619423074081136,0.789558026277102,4,FALSE
2_786_1,0,1.2051858692726,0.118350134053726,0.420101376203534,0.142801197123577,0.105080995468764,0.369656610306546,0.967020884761097,3,FALSE
2_787_2,0,0.420403393513191,0.127002803064314,0.668597292264718,0.424759785139082,0.567867393914793,0.560609350362796,0.902469903473901,4,FALSE
2_790_2,0,0.827896470002043,0.12083758468749,0.588044481472022,0.293879396128992,0.213918489653654,0.373620292235156,0.955778840585601,3,FALSE
2_797_1,0,0.773344626333048,0.12239873836269,0.692695808908941,0.269138358815142,0.152651340567915,0.483171781569855,0.944785435508653,3,FALSE
2_802_2,0,0.460888296880789,0.126020596743439,0.650314765063342,0.381324304434254,0.547341080968041,0.533683045053758,0.902672024352792,4,FALSE
2_811_1,0,0.19554154553156,0.160805461266398,0.257478736408893,0.884901800179948,0.805688563197652,0.845047618536938,0.644149324982426,1,FALSE
